date,nee_vut_gcm2,nee_qc,nep_mg_ha,obs_mask
2012-01-01,-2.822397244039635,0.4375,0.02822397244039635,True
2012-01-02,-0.4310318761097553,0.5833333333333334,,False
2012-01-03,-3.3087296830593087,0.5833333333333334,,False
2012-01-04,-1.0817614054479714,0.8541666666666666,,False
2012-01-05,-0.1805940856982577,0.8125,,False
2012-01-06,-3.694210371041996,0.6041666666666666,,False
2012-01-07,-5.298656167133585,0.5,0.05298656167133584,True
2012-01-08,-1.7493024298313524,0.4791666666666667,0.017493024298313523,True
2012-01-09,-1.6201500340027837,0.4166666666666667,0.016201500340027836,True
2012-01-10,-3.222836821724751,0.4583333333333333,0.03222836821724751,True
2012-01-11,-3.372681994629052,0.6875,,False
2012-01-12,-3.0505371159065184,0.5833333333333334,,False
2012-01-13,-3.156052494971317,0.5208333333333334,,False
2012-01-14,-3.442014254679238,0.4791666666666667,0.03442014254679238,True
2012-01-15,-5.304243808118697,0.3125,0.05304243808118697,True
2012-01-16,-1.5982652997485771,0.3541666666666667,0.01598265299748577,True
2012-01-17,-2.233646447694844,0.3333333333333333,0.02233646447694844,True
2012-01-18,-3.3525049416548542,0.4166666666666667,0.03352504941654854,True
2012-01-19,-3.655483221235962,0.3541666666666667,0.03655483221235962,True
2012-01-20,-1.7161437902810164,0.9166666666666666,,False
2012-01-21,-4.381880103145577,0.5,0.04381880103145577,True
2012-01-22,-3.010968188783634,0.3958333333333333,0.030109681887836342,True
2012-01-23,-0.5023069530898053,0.7708333333333334,,False
2012-01-24,-3.245203543603263,0.5625,,False
2012-01-25,-2.358792138468178,0.7291666666666666,,False
2012-01-26,-1.591755491360131,0.625,,False
2012-01-27,-3.3431392096927035,0.3958333333333333,0.03343139209692703,True
2012-01-28,-4.385211554167746,0.7916666666666666,,False
2012-01-29,-2.229538128112272,0.5,0.022295381281122722,True
2012-01-30,-3.3228180912660745,0.4166666666666667,0.03322818091266075,True
2012-01-31,-2.656591833411935,0.5208333333333334,,False
2012-02-01,-4.484080749919852,0.5625,,False
2012-02-02,-3.0956421073414173,0.4375,0.030956421073414172,True
2012-02-03,-2.8564507129926766,0.1666666666666666,0.028564507129926767,True
2012-02-04,-2.2466995345321936,0.3958333333333333,0.022466995345321938,True
2012-02-05,-3.216552451971795,0.5,0.03216552451971795,True
2012-02-06,-2.9840606885227503,0.5416666666666666,,False
2012-02-07,-2.9710574517598887,0.3333333333333333,0.029710574517598887,True
2012-02-08,-1.3855435043785156,0.5208333333333334,,False
2012-02-09,-5.5544180222728725,0.6041666666666666,,False
2012-02-10,-3.823677063965345,0.7291666666666666,,False
2012-02-11,-1.3666266305596588,0.5833333333333334,,False
2012-02-12,-2.398374835028117,0.6041666666666666,,False
2012-02-13,-3.2710388377373465,0.6666666666666666,,False
2012-02-14,-6.639655479778077,0.6458333333333334,,False
2012-02-15,-2.0431141887810806,0.5833333333333334,,False
2012-02-16,-3.1489497388101526,0.6875,,False
2012-02-17,-0.1932103722860536,0.8541666666666666,,False
2012-02-18,-1.5213600770338334,0.7708333333333334,,False
2012-02-19,-2.014381389315816,0.6041666666666666,,False
2012-02-20,-4.941960340020054,0.375,0.04941960340020054,True
2012-02-21,-5.359006529125169,0.5,0.053590065291251696,True
2012-02-22,-1.0565660592989277,0.5,0.010565660592989277,True
2012-02-23,-1.8908679796636505,0.3541666666666667,0.018908679796636504,True
2012-02-24,-2.6615714093601204,0.5625,,False
2012-02-25,-2.636458020017236,0.5208333333333334,,False
2012-02-26,-0.9694533032514338,0.6875,,False
2012-02-27,-6.029723775856295,0.5625,,False
2012-02-28,-2.6532218902838838,0.5208333333333334,,False
2012-02-29,-2.0270359951061043,0.6458333333333334,,False
2012-03-01,-3.431057152982324,0.625,,False
2012-03-02,-4.171002569626638,0.5208333333333334,,False
2012-03-03,-1.6647497280023986,0.8125,,False
2012-03-04,-3.120916424341278,0.8125,,False
2012-03-05,-2.933601238455533,0.4791666666666667,0.02933601238455533,True
2012-03-06,-2.986180884247868,0.5833333333333334,,False
2012-03-07,-2.0058762099898253,0.75,,False
2012-03-08,-2.875936409933577,0.5833333333333334,,False
2012-03-09,2.0239911741492342,0.8333333333333334,,False
2012-03-10,-2.697490366541567,0.3541666666666667,0.026974903665415672,True
2012-03-11,-3.3079239213478777,0.6458333333333334,,False
2012-03-12,-3.12251940624372,0.7291666666666666,,False
2012-03-13,-3.981163181187746,0.5416666666666666,,False
2012-03-14,-2.4277968506233973,0.3333333333333333,0.024277968506233972,True
2012-03-15,-5.692150857574431,0.2708333333333333,0.05692150857574431,True
2012-03-16,-3.4445064465483948,0.3541666666666667,0.03444506446548395,True
2012-03-17,-3.358295019719264,0.6041666666666666,,False
2012-03-18,-4.308784450710765,0.5833333333333334,,False
2012-03-19,-3.2174087480999045,0.6458333333333334,,False
2012-03-20,-2.8373400071098263,0.7083333333333334,,False
2012-03-21,-1.348302617741675,0.7916666666666666,,False
2012-03-22,-3.100074824430662,0.6666666666666666,,False
2012-03-23,-5.008987762599947,0.6458333333333334,,False
2012-03-24,-2.7801141264719558,0.625,,False
2012-03-25,-5.3233095117356735,0.4166666666666667,0.05323309511735674,True
2012-03-26,-3.479820108475703,0.5833333333333334,,False
2012-03-27,-4.586914147129288,0.4166666666666667,0.045869141471292875,True
2012-03-28,-5.524859614096999,0.7708333333333334,,False
2012-03-29,-4.254072464690795,0.4375,0.04254072464690795,True
2012-03-30,-6.202001586131398,0.5,0.062020015861313976,True
2012-03-31,-6.8651875688077695,0.3125,0.0686518756880777,True
