date,nee_gcm2,nee_source,nee_qc,nep_mg_ha,obs_mask
2012-01-01,-3.0011854595000003,NEE_PI_F,,0.030011854595,True
2012-01-02,-1.9812326497083332,NEE_PI_F,,0.01981232649708333,True
2012-01-03,-3.1499108213125004,NEE_PI_F,,0.031499108213125,True
2012-01-04,-1.2576317445625,NEE_PI_F,,0.012576317445625,True
2012-01-05,-0.2363162114166666,NEE_PI_F,,0.002363162114166666,True
2012-01-06,-3.593501857375,NEE_PI_F,,0.035935018573750005,True
2012-01-07,-3.405918032395834,NEE_PI_F,,0.03405918032395834,True
2012-01-08,-2.379341472979166,NEE_PI_F,,0.023793414729791663,True
2012-01-09,-3.747233085375,NEE_PI_F,,0.03747233085375,True
2012-01-10,-2.752455072833333,NEE_PI_F,,0.02752455072833333,True
2012-01-11,-2.568849052875,NEE_PI_F,,0.02568849052875,True
2012-01-12,-2.9660287481458334,NEE_PI_F,,0.029660287481458335,True
2012-01-13,-2.9621344747083334,NEE_PI_F,,0.029621344747083334,True
2012-01-14,-3.1895192690625005,NEE_PI_F,,0.031895192690625004,True
2012-01-15,-2.320380318729167,NEE_PI_F,,0.02320380318729167,True
2012-01-16,-2.8322846736875,NEE_PI_F,,0.028322846736875,True
2012-01-17,-2.6821644324166667,NEE_PI_F,,0.026821644324166668,True
2012-01-18,-1.4232550684375,NEE_PI_F,,0.014232550684375001,True
2012-01-19,-2.308638420625,NEE_PI_F,,0.023086384206249998,True
2012-01-20,-0.9706315555625,NEE_PI_F,,0.009706315555625001,True
2012-01-21,-2.108039099229167,NEE_PI_F,,0.02108039099229167,True
2012-01-22,-2.062182706583333,NEE_PI_F,,0.02062182706583333,True
2012-01-23,-0.012848218395833,NEE_PI_F,,0.00012848218395833,True
2012-01-24,-2.7289907663750004,NEE_PI_F,,0.027289907663750005,True
2012-01-25,-1.524453123958333,NEE_PI_F,,0.01524453123958333,True
2012-01-26,-2.216499943958333,NEE_PI_F,,0.02216499943958333,True
2012-01-27,-2.325759365958333,NEE_PI_F,,0.023257593659583332,True
2012-01-28,-3.8317197454583343,NEE_PI_F,,0.03831719745458334,True
2012-01-29,-1.9452010437083336,NEE_PI_F,,0.019452010437083337,True
2012-01-30,-2.4865368261666663,NEE_PI_F,,0.024865368261666663,True
2012-01-31,-2.5249482151458333,NEE_PI_F,,0.025249482151458332,True
2012-02-01,-3.038211412125,NEE_PI_F,,0.030382114121249998,True
2012-02-02,-2.8724071931041664,NEE_PI_F,,0.028724071931041664,True
2012-02-03,-2.6785789403541664,NEE_PI_F,,0.026785789403541663,True
2012-02-04,-1.6221039708125,NEE_PI_F,,0.016221039708125,True
2012-02-05,-2.8334683736875004,NEE_PI_F,,0.028334683736875005,True
2012-02-06,-2.7533664228958337,NEE_PI_F,,0.027533664228958338,True
2012-02-07,-2.285797511208333,NEE_PI_F,,0.02285797511208333,True
2012-02-08,-1.2040960340416669,NEE_PI_F,,0.012040960340416669,True
2012-02-09,-4.4737593890625,NEE_PI_F,,0.044737593890624996,True
2012-02-10,-2.9149912500416666,NEE_PI_F,,0.029149912500416666,True
2012-02-11,-1.5735015907083332,NEE_PI_F,,0.01573501590708333,True
2012-02-12,-2.7479336197083337,NEE_PI_F,,0.027479336197083336,True
2012-02-13,-2.8788005001666668,NEE_PI_F,,0.02878800500166667,True
2012-02-14,-6.074969332895833,NEE_PI_F,,0.060749693328958326,True
2012-02-15,-2.3207469192916665,NEE_PI_F,,0.023207469192916667,True
2012-02-16,-2.601924303083333,NEE_PI_F,,0.02601924303083333,True
2012-02-17,-0.0764723051458334,NEE_PI_F,,0.000764723051458334,True
2012-02-18,-2.7743911900833336,NEE_PI_F,,0.027743911900833335,True
2012-02-19,-1.505699347666667,NEE_PI_F,,0.015056993476666669,True
2012-02-20,-4.825626796229167,NEE_PI_F,,0.04825626796229167,True
2012-02-21,-5.410101164770833,NEE_PI_F,,0.05410101164770833,True
2012-02-22,-1.8856246192916664,NEE_PI_F,,0.018856246192916662,True
2012-02-23,-2.077892418958333,NEE_PI_F,,0.020778924189583332,True
2012-02-24,-3.343277285979166,NEE_PI_F,,0.03343277285979166,True
2012-02-25,-2.9277540493541667,NEE_PI_F,,0.029277540493541667,True
2012-02-26,-1.75080850925,NEE_PI_F,,0.0175080850925,True
2012-02-27,-5.717987825979168,NEE_PI_F,,0.05717987825979168,True
2012-02-28,-3.500938733375,NEE_PI_F,,0.03500938733375,True
2012-02-29,-1.6621377102083332,NEE_PI_F,,0.01662137710208333,True
2012-03-01,-3.8899275040625,NEE_PI_F,,0.038899275040625,True
2012-03-02,-4.482254665854167,NEE_PI_F,,0.044822546658541663,True
2012-03-03,-2.1490930425,NEE_PI_F,,0.021490930425000002,True
2012-03-04,-3.468393923854167,NEE_PI_F,,0.03468393923854167,True
2012-03-05,-2.4595198777083334,NEE_PI_F,,0.024595198777083334,True
2012-03-06,-3.6552497407291664,NEE_PI_F,,0.03655249740729166,True
2012-03-07,-0.5637554625,NEE_PI_F,,0.005637554625,True
2012-03-08,-2.635991078208333,NEE_PI_F,,0.02635991078208333,True
2012-03-09,0.1220178570416667,NEE_PI_F,,-0.001220178570416667,True
2012-03-10,-3.6279339314375,NEE_PI_F,,0.036279339314375,True
2012-03-11,-2.239291365958333,NEE_PI_F,,0.022392913659583333,True
2012-03-12,-2.583562396604167,NEE_PI_F,,0.02583562396604167,True
2012-03-13,-3.7448670199791674,NEE_PI_F,,0.03744867019979167,True
2012-03-14,-2.422633481958333,NEE_PI_F,,0.02422633481958333,True
