sample_id,status,elapsed_sec,annual_file,n_years,notes,mean_GPP,mean_NEP,mean_ER,mean_NPP
57,success,6.3,sample_0057/LHP_20250919_annual.txt,10,,0.6462,0.024,0.6222,0.4104
58,success,6.9,sample_0058/LHP_20250919_annual.txt,10,,0.6462,0.024100000000000003,0.622,0.4104
59,success,6.4,sample_0059/LHP_20250919_annual.txt,10,,0.6462,0.0245,0.622,0.4162
60,success,4.2,sample_0060/LHP_20250919_annual.txt,10,,0.6462,0.0245,0.6216999999999999,0.4162
61,success,6.7,sample_0061/LHP_20250919_annual.txt,10,,0.6462,0.0245,0.6216999999999999,0.41600000000000004
62,success,6.3,sample_0062/LHP_20250919_annual.txt,10,,0.6462,0.0245,0.6216999999999999,0.41600000000000004
63,success,6.2,sample_0063/LHP_20250919_annual.txt,10,,0.6462,0.028499999999999998,0.6174,0.41600000000000004
64,success,6.5,sample_0064/LHP_20250919_annual.txt,10,,0.646,0.0273,0.6188,0.402
65,success,5.1,sample_0065/LHP_20250919_annual.txt,10,,4.8625,0.1588,4.7036,3.3009
66,success,3.6,sample_0066/LHP_20250919_annual.txt,10,,1.1469,0.0429,1.1038999999999999,0.8257999999999999
67,success,5.7,sample_0067/LHP_20250919_annual.txt,10,,1.1469,0.0429,1.1038999999999999,0.8257999999999999
68,success,5.6,sample_0068/LHP_20250919_annual.txt,10,,1.1469,0.0429,1.1038999999999999,0.8257999999999999
69,success,5.9,sample_0069/LHP_20250919_annual.txt,10,,1.1469,0.0429,1.1038999999999999,0.8257999999999999
70,success,5.6,sample_0070/LHP_20250919_annual.txt,10,,1.1468,0.0429,1.1037000000000001,0.8257
71,success,3.4,sample_0071/LHP_20250919_annual.txt,10,,1.1468,0.0429,1.1037000000000001,0.8257
72,success,5.5,sample_0072/LHP_20250919_annual.txt,10,,1.1468,0.0429,1.1037000000000001,0.8257
73,success,5.7,sample_0073/LHP_20250919_annual.txt,10,,1.1469,0.0427,1.1041,0.8331
74,success,5.7,sample_0074/LHP_20250919_annual.txt,10,,1.1469,0.0427,1.1041,0.8331
75,success,5.5,sample_0075/LHP_20250919_annual.txt,10,,1.1469,0.0427,1.1041,0.8331
76,success,5.8,sample_0076/LHP_20250919_annual.txt,10,,1.1494,0.0434,1.106,0.8651
77,success,3.7,sample_0077/LHP_20250919_annual.txt,10,,0.9561,0.0361,0.9202,0.7502
78,success,5.8,sample_0078/LHP_20250919_annual.txt,10,,0.8675,0.0338,0.8337,0.6777
79,success,5.7,sample_0079/LHP_20250919_annual.txt,10,,0.8675,0.0338,0.8337,0.6777
80,success,5.7,sample_0080/LHP_20250919_annual.txt,10,,0.8675,0.0392,0.8283999999999999,0.6777
81,success,5.5,sample_0081/LHP_20250919_annual.txt,10,,0.8675,0.037,0.8305999999999999,0.6777
82,success,5.4,sample_0082/LHP_20250919_annual.txt,10,,0.8675,0.037,0.8305999999999999,0.6777
83,success,3.8,sample_0083/LHP_20250919_annual.txt,10,,0.8675,0.037,0.8305999999999999,0.6777
84,success,5.4,sample_0084/LHP_20250919_annual.txt,10,,0.7405999999999999,0.0335,0.7068,0.5721999999999999
85,success,5.3,sample_0085/LHP_20250919_annual.txt,10,,1.0521,0.041999999999999996,1.0102,0.7626000000000001
86,success,5.7,sample_0086/LHP_20250919_annual.txt,10,,0.9890000000000001,0.04,0.9488,0.7219
87,success,5.6,sample_0087/LHP_20250919_annual.txt,10,,0.9890000000000001,0.053700000000000005,0.9349999999999999,0.7219
