param_name,prior,optimized,delta,delta_pct
tree_alloc_ass,0.2623450692891942,0.53817785,0.27583277857304944,105.14120936993373
tree_alloc_abg,0.5000067449518385,0.61639744,0.1163906954816637,23.277825080714592
tree_sla,174.9913717668777,228.19759,53.20621429269261,30.4050501207417
tree_lue,0.05000691973287948,0.06946926,0.019462338456321872,38.91929069073497
tree_pmax,19.0011720912785,21.137274,2.136101697173647,11.241947006806559
tree_topt,22.500278639056837,22.759415,0.25913603379472505,1.1517014431319392
tree_tmin,7.499126733755644,20.0,12.500873266244355,166.69771974881377
tree_tmax,37.497662029781985,25.00781,-12.489851437130618,-33.308347136978114
tree_rmf0,1.0048024949777887,0.93426186,-0.07054063651450138,-7.020348463213229
tree_qTf0,2.000021452538422,1.5145583,-0.4854631372613225,-24.27289650544368
tree_qTc0,2.0000529980541044,2.2145476,0.21449463607065145,10.724447616105072
tree_qTr0,2.000050645222689,2.0860474,0.08599676574227688,4.299729406737191
tree_lf0,0.04999877041430515,0.054304957,0.004306186975526392,8.612585749297445
tree_lc0,0.04999030601704858,0.1,0.050009695473067536,100.03878643193809
tree_lr0,0.049971131572774004,0.05439511,0.0044239778422803175,8.85306716706542
c3_alloc_ass,0.2532757022014059,0.40022907,0.14695336440893042,58.02110630101916
c3_alloc_abg,0.4999509811132826,0.40022907,-0.09972191450294632,-19.946338395193706
c3_sla,174.98518983917216,132.74304,-42.242147846984665,-24.140413189144272
c3_lue,0.050004088167497074,0.05175169,0.0017476036805425532,3.4949216045869327
c3_pmax,19.00058834723388,8.0,-11.00058834723388,-57.89604061831777
c3_topt,22.50064533262673,19.88768,-2.612965278915791,-11.612845944142318
c3_tmin,7.499907418585361,0.8929352,-6.606972202158512,-88.09405014501799
c3_tmax,37.49993516079836,25.006245,-12.49369050137453,-33.31656560951917
c3_rmf0,1.0049552866735079,0.37351662,-0.631438667468033,-62.83251362935277
c3_qTf0,1.9998817150843309,1.7999545,-0.19992718150736555,-9.996950319581027
c3_qTc0,1.9998502373992249,2.5,0.5001497626007751,25.00936086350208
c3_qTr0,1.9999870880665103,1.5,-0.49998708806651027,-24.99951579936815
c3_lf0,0.049994631308997166,-1.2927408e-09,-0.04999463260173797,-100.00000258575925
c3_lc0,0.05001684124879427,0.1,0.04998316024132185,99.9326606666245
c3_lr0,0.05001714921994729,0.0010962905,-0.04892085868372245,-97.80817069080852
soil_sr_lf,1.5046625365896875,3.0,1.4953374634103125,99.38025484435133
soil_sr_lc,1.5046410562836554,0.00999999,-1.4946410658203986,-99.33539029647667
soil_sr_lr,1.5049176165746543,1.1960003,-0.3089172789739463,-20.527188702666226
soil_f_co2_lf,0.6000097350521011,0.315681,-0.28432872456740566,-47.38735189733485
soil_f_co2_lc,0.5999036796649979,0.88086486,0.2809611789623214,46.8343816659397
soil_f_co2_lr,0.6000378482396479,0.49581084,-0.10422701168607429,-17.370072903209145
