name,mu,mu_star,sigma,mu_star_conf
tree_albedo,0.0,0.0,0.0,0.0
tree_alloc_abg,-1.5687777777777756,1.5687777777777756,2.648586165471289,2.7376649417965138
tree_ctmp_lfdsp,0.0,0.0,0.0,0.0
tree_ctmp_lfshd,0.0,0.0,0.0,0.0
tree_sla,-0.13700000000000004,0.23311111111111119,0.2855115778932812,0.1639528194923922
tree_ek0,-3.8673888888888897,3.933055555555556,6.783843924954948,5.9653746907994485
tree_lue,0.053166666666666675,0.053166666666666675,0.05871565189775022,0.05611451244259681
tree_pmax,11.974055555555557,11.974055555555557,18.711558691779956,16.092595986797406
tree_topt,1.6745,1.6745,2.7357270971352388,2.4821729125290712
tree_tmin,-0.09477777777777767,0.09477777777777767,0.11517008356404092,0.09419688797457237
tree_tmax,3.4481666666666677,3.4481666666666677,5.8309866684616765,5.1809142378357445
tree_gs_b0,0.017888888888888958,0.017888888888888958,0.02477752864847353,0.02181265741720654
tree_gs_b1,0.030944444444444507,0.030944444444444507,0.040267968154095723,0.03474450694081003
tree_gs_b2,0.0069444444444441734,0.0069444444444441734,0.002800462924695371,0.002935347174065149
tree_km_nstl,-0.06966666666666661,0.06966666666666661,0.08520628563146673,0.0752360981428967
tree_kmci,-0.21344444444444444,0.21344444444444444,0.2345229397292709,0.20820697684142245
tree_cmpcd0,-1.7106666666666648,1.7106666666666648,1.5496796801633246,1.3932044632964231
tree_rgf,-0.00633333333333333,0.00633333333333333,0.008006941432976195,0.00709776903218044
tree_rgc,-0.011222222222222222,0.011222222222222222,0.011785505850329387,0.011387425332115043
tree_rgr,-0.14549999999999996,0.14549999999999996,0.13031979895625986,0.12470218045996984
tree_rmf0,-0.0521111111111111,0.05600000000000006,0.07701088186695391,0.06794464606866421
tree_rmc_s,-0.005277777777777844,0.005277777777777844,0.007215595250207444,0.0062033562935015375
tree_rmr_s,-0.02866666666666653,0.02866666666666653,0.047930505248049635,0.04295454504555094
tree_rmc_h,0.00011111111111112972,0.00011111111111112972,0.00019245008972990747,0.00019910033259208093
tree_rmr_h,-0.05055555555555702,0.050666666666668116,0.08770916798230724,0.07652565201116472
tree_qtf0,-0.018500000000000013,0.018500000000000013,0.030185997489638242,0.028987109718363397
tree_qtc0,-0.018388888888888778,0.018388888888888778,0.029260009366849908,0.025087699398951772
tree_qtr0,0.0013888888888888595,0.002500000000000033,0.002657971936423543,0.0007435902608223197
tree_f_sz_s,-0.001055555555555501,0.001055555555555501,0.0016859989894993563,0.0014863391582755556
tree_f_sz_r,-0.008055555555555533,0.008055555555555533,0.013952631505415914,0.013362254327388768
tree_lf0,-13.166444444444444,13.166444444444444,19.135082909506917,16.383871922375167
tree_lc0,0.27027777777777784,0.27027777777777784,0.4442873611293251,0.4333532661989443
tree_lr0,0.41583333333333306,0.41583333333333306,0.6097819510101763,0.5635919749282677
tree_dcd,0.0,0.0,0.0,0.0
tree_root_spt_a,0.0,0.0,0.0,0.0
tree_root_spt_b,0.0,0.0,0.0,0.0
c3_albedo,0.0004444444444445189,0.0005555555555556178,0.0009179284245477954,0.0007468429604413015
c3_alloc_abg,-0.009444444444444424,0.02844444444444443,0.03658564280232424,0.015080802862297911
c3_ctmp_lfdsp,0.0,0.0,0.0,0.0
c3_ctmp_lfshd,0.0,0.0,0.0,0.0
c3_sla,0.08855555555555616,0.08866666666666505,0.10145337370948666,0.0901514291606293
c3_ek0,-0.16477777777777816,0.16477777777777816,0.16550195813992052,0.15145654482614598
c3_lue,0.01566666666666673,0.0317777777777778,0.04722375814495641,0.031786052444462636
c3_pmax,0.10977777777777692,0.10977777777777692,0.13774617693155577,0.11914331256852656
c3_topt,0.12700000000000003,0.14322222222222228,0.1741401096180252,0.15446985876451555
c3_tmin,-0.006833333333334155,0.009277777777778638,0.012390632662532345,0.009484976349299078
c3_tmax,0.05977777777777776,0.06922222222222228,0.11436082435934149,0.10355589213551006
c3_gs_b0,0.009388888888888874,0.009388888888888874,0.009958711057457454,0.00972974760912349
c3_gs_b1,0.012333333333332223,0.012333333333332223,0.018009256878987624,0.01619675198827842
c3_gs_b2,0.004555555555555548,0.004555555555555548,0.006110858580640933,0.005655567108872394
c3_km_nstl,-0.09294444444444268,0.09294444444444268,0.03903322421466924,0.03925843792743797
c3_kmci,-0.04299999999999835,0.04299999999999835,0.0623540518152425,0.056278243686124656
c3_cmpcd0,-0.023111111111111155,0.023111111111111155,0.03414850465789631,0.033328075468389715
c3_rgf,0.0,0.0,0.0,0.0
c3_rgc,-0.02705555555555512,0.02894444444444402,0.029193479738791973,0.02264493128285911
c3_rgr,-0.013333333333333391,0.013333333333333391,0.00338296385503073,0.003185643667605119
c3_rmf0,-0.020277777777777395,0.020611111111110754,0.025100538580617043,0.02090948745346875
c3_rmc_s,-0.09188888888888892,0.09200000000000003,0.11217624195550174,0.10813208498065058
c3_rmr_s,-0.00022222222222219776,0.00022222222222219776,0.0003849001794597081,0.0003714362004756356
c3_rmc_h,0.00016666666666667918,0.00016666666666667918,0.00028867513459483453,0.000283391307561556
c3_rmr_h,5.5555555554439216e-05,5.5555555554439216e-05,9.622504486300405e-05,8.529648404486658e-05
c3_qtf0,-0.014444444444446447,0.014444444444446447,0.010788797344847202,0.01020844123162267
c3_qtc0,-0.04827777777777775,0.04827777777777775,0.06182285026440321,0.05725573122678417
c3_qtr0,0.00011111111111112972,0.00011111111111112972,0.00019245008972990747,0.0001817946326075536
c3_f_sz_s,-0.00016666666666671,0.0002777777777778089,0.00028867513459483453,9.517738068818006e-05
