name,rho,abs_rho
tree_pmax,0.8002483950407677,0.8002483950407677
c3_topt,-0.6420963876242922,0.6420963876242922
tree_cmpcd0,-0.5726764750604005,0.5726764750604005
soil_sr_hi,-0.5631685644682444,0.5631685644682444
c3_sla,-0.5598900566792486,0.5598900566792486
c3_lc0,0.5589421782180951,0.5589421782180951
under_gss_b2,0.5472008938284739,0.5472008938284739
tree_rmf0,0.5249328054226421,0.5249328054226421
tree_lue,0.49402685787249606,0.49402685787249606
tree_ctmp_lfdsp,0.4826163957451416,0.4826163957451416
over_acen_ko,-0.47404442390118917,0.47404442390118917
over_scttr,0.4613894532827621,0.4613894532827621
over_gss_b1,0.45405076211865936,0.45405076211865936
tree_rgc,-0.4523741552292981,0.4523741552292981
tree_sla,0.444919435396406,0.444919435396406
tree_rgr,-0.4375613739570645,0.4375613739570645
c3_albedo,-0.4358430338617214,0.4358430338617214
c3_lf0,0.42541998111366053,0.42541998111366053
over_nc_ct,-0.4251188408948458,0.4251188408948458
c3_tmax,0.38099219105701004,0.38099219105701004
c3_f_sz_r,-0.3795984011450995,0.3795984011450995
c3_f_sz_s,-0.3644850772203386,0.3644850772203386
tree_qtr0,-0.36229937924860106,0.36229937924860106
c3_root_spt_a,0.35163014597579473,0.35163014597579473
c3_kmci,0.3515376026195224,0.3515376026195224
c4_kmci,0.35132015577149867,0.35132015577149867
soil_sr_lr,0.3463924771322898,0.3463924771322898
over_hc_et,0.3418945788767365,0.3418945788767365
c3_gs_b2,-0.3343164910827756,0.3343164910827756
tree_rmc_h,-0.331887813752231,0.331887813752231
over_ke_n,-0.32838192985273235,0.32838192985273235
tree_kmci,0.32823306940654984,0.32823306940654984
c3_qtr0,-0.32465214759889555,0.32465214759889555
tree_root_spt_a,0.3204458987228673,0.3204458987228673
c3_cmpcd0,0.31084846970653135,0.31084846970653135
c3_rgr,0.30742339146652153,0.30742339146652153
c3_lue,0.30258670312913205,0.30258670312913205
tree_root_spt_b,-0.30218996344272936,0.30218996344272936
over_rfl_d,0.3014192920796971,0.3014192920796971
tree_qtf0,0.2930846166395198,0.2930846166395198
over_cv_p,-0.29107876860226867,0.29107876860226867
soil_kml,0.2903347262351423,0.2903347262351423
c4_cmpcd0,0.28775087838154473,0.28775087838154473
soil_sr_lc,-0.28766097902510945,0.28766097902510945
tree_rgf,-0.2652499279638137,0.2652499279638137
tree_lr0,0.25269761696532284,0.25269761696532284
c3_km_nstl,0.2461477658746212,0.2461477658746212
soil_f_co2_lr,-0.24453525548790123,0.24453525548790123
over_gss_b0,-0.24323385507477752,0.24323385507477752
tree_ctmp_lfshd,0.22711519017152026,0.22711519017152026
c3_rgf,-0.2238328151278249,0.2238328151278249
tree_rmr_h,0.21503467306888355,0.21503467306888355
tree_albedo,0.20806675151880408,0.20806675151880408
tree_rmc_s,-0.20218786867105848,0.20218786867105848
over_cv_j,0.19048689745238748,0.19048689745238748
over_jvr,0.177509902531906,0.177509902531906
soil_albedo0,-0.17634121543281078,0.17634121543281078
soil_f_co2_lc,-0.17169658173978805,0.17169658173978805
c3_ctmp_lfshd,-0.16432973045661384,0.16432973045661384
c3_tmin,0.16362922435229804,0.16362922435229804
tree_tmax,0.1624506106893304,0.1624506106893304
c3_rmf0,-0.1593366388155279,0.1593366388155279
over_acen_kc,0.15396735545542972,0.15396735545542972
tree_f_sz_s,0.15206286368686847,0.15206286368686847
tree_ek0,-0.15183605040733822,0.15183605040733822
over_acen_vc,0.14829682750257422,0.14829682750257422
over_kc0,0.14346988046697612,0.14346988046697612
tree_lf0,-0.14340823797167723,0.14340823797167723
tree_km_nstl,0.14110048353007665,0.14110048353007665
c3_rmr_s,0.1354526511950373,0.1354526511950373
under_gss_b0,-0.13418463692721552,0.13418463692721552
c3_qtc0,0.13320808223862185,0.13320808223862185
soil_f_co2_lf,0.13189566779461342,0.13189566779461342
soil_kmsl,-0.13169263799003791,0.13169263799003791
c3_alloc_abg,0.12313127675419604,0.12313127675419604
c3_pmax,0.12169627806577873,0.12169627806577873
c3_rmc_h,0.11927651870917805,0.11927651870917805
tree_f_sz_r,0.11925564730116885,0.11925564730116885
soil_f_hm_p,0.11789027340157889,0.11789027340157889
c3_ctmp_lfdsp,0.11711447991919154,0.11711447991919154
c3_ek0,0.11694938934099672,0.11694938934099672
tree_gs_b0,0.11405041365885361,0.11405041365885361
c3_root_spt_b,0.1109860588541307,0.1109860588541307
soil_kmh,0.10936238051126047,0.10936238051126047
over_spect,0.1042180141322109,0.1042180141322109
tree_gs_b2,-0.09977534898846224,0.09977534898846224
tree_alloc_abg,-0.09310059149881837,0.09310059149881837
soil_f_hm_i,-0.0890203262865517,0.0890203262865517
tree_dcd,-0.08822644071709593,0.08822644071709593
soil_sr_lf,-0.08752100290063591,0.08752100290063591
c3_rmr_h,-0.08671941756238735,0.08671941756238735
over_acen_et,-0.08290964017442101,0.08290964017442101
under_gss_b1,0.07785459765684813,0.07785459765684813
c3_gs_b0,-0.07781337743238162,0.07781337743238162
under_nc_ct,0.07703283620690894,0.07703283620690894
tree_gs_b1,-0.07649534008217489,0.07649534008217489
c3_qtf0,0.07518622140680863,0.07518622140680863
c3_rmc_s,-0.07450441957771757,0.07450441957771757
soil_sr_ha,0.07092044775150687,0.07092044775150687
over_ko0,0.06760503947045281,0.06760503947045281
soil_sr_hp,-0.051201361213115366,0.051201361213115366
over_str_et,0.04526552072862765,0.04526552072862765
over_gss_b2,-0.043120708461426606,0.043120708461426606
c3_gs_b1,-0.03902337424743685,0.03902337424743685
