name,rho,abs_rho
tree_pmax,0.8184036303077501,0.8184036303077501
c3_topt,-0.7377313129465538,0.7377313129465538
soil_sr_hi,-0.6547003763813154,0.6547003763813154
tree_lue,0.6025584468506151,0.6025584468506151
tree_rmf0,0.5981698083398098,0.5981698083398098
c3_lc0,0.5925282232238812,0.5925282232238812
c3_sla,-0.5884855028187695,0.5884855028187695
under_gss_b2,0.5785386579023829,0.5785386579023829
over_acen_ko,-0.5778258571668257,0.5778258571668257
c3_albedo,-0.5690091616590374,0.5690091616590374
over_nc_ct,-0.5234203108344221,0.5234203108344221
tree_cmpcd0,-0.518549127426229,0.518549127426229
tree_rgr,-0.5115227558120016,0.5115227558120016
tree_rgc,-0.5052687252495929,0.5052687252495929
c3_f_sz_r,-0.5036361510645702,0.5036361510645702
tree_sla,0.49809693967394175,0.49809693967394175
over_scttr,0.49714296516814027,0.49714296516814027
c3_lf0,0.4931758587535651,0.4931758587535651
over_gss_b1,0.45098288538249887,0.45098288538249887
tree_ctmp_lfdsp,0.4488149041856929,0.4488149041856929
over_hc_et,0.44709471541740553,0.44709471541740553
c4_kmci,0.4425280620943832,0.4425280620943832
c3_gs_b2,-0.4366292005867604,0.4366292005867604
c3_f_sz_s,-0.4355875713679918,0.4355875713679918
c3_kmci,0.42825314444170076,0.42825314444170076
tree_qtr0,-0.42344582378309636,0.42344582378309636
c3_qtr0,-0.4220367871999117,0.4220367871999117
c3_root_spt_a,0.4048674360450164,0.4048674360450164
c3_tmax,0.39833116340677166,0.39833116340677166
tree_root_spt_b,-0.3829520857091056,0.3829520857091056
c3_km_nstl,0.37648896233352397,0.37648896233352397
soil_kml,0.3685007495020179,0.3685007495020179
c3_cmpcd0,0.3632890022411743,0.3632890022411743
c3_lue,0.36067361281772037,0.36067361281772037
tree_albedo,0.3574528635578235,0.3574528635578235
tree_rmc_h,-0.34769462511608984,0.34769462511608984
soil_sr_lc,-0.3456661712038473,0.3456661712038473
tree_rgf,-0.33837619345959424,0.33837619345959424
c3_rgr,0.3030648648590473,0.3030648648590473
tree_rmr_h,0.3018869579017062,0.3018869579017062
tree_rmc_s,-0.30097255244785714,0.30097255244785714
soil_albedo0,-0.2975818989986961,0.2975818989986961
soil_sr_lr,0.2952360169209312,0.2952360169209312
tree_qtf0,0.2781213346846126,0.2781213346846126
tree_kmci,0.2701048927939442,0.2701048927939442
over_jvr,0.2685663956986455,0.2685663956986455
over_cv_p,-0.2672704119468436,0.2672704119468436
soil_f_co2_lr,-0.2669189034070292,0.2669189034070292
over_ke_n,-0.2601296044240084,0.2601296044240084
over_rfl_d,0.2546399910666625,0.2546399910666625
c4_cmpcd0,0.24476271954219303,0.24476271954219303
c3_pmax,0.24079930230838595,0.24079930230838595
soil_f_co2_lf,0.23264523164256282,0.23264523164256282
over_cv_j,0.23016548978033305,0.23016548978033305
tree_ctmp_lfshd,0.2235888306085345,0.2235888306085345
tree_alloc_abg,-0.21997757115160327,0.21997757115160327
over_gss_b0,-0.2139230048285735,0.2139230048285735
c3_alloc_abg,0.21146450215570148,0.21146450215570148
tree_lf0,-0.20810300680174437,0.20810300680174437
c3_rmr_h,-0.20781019429026118,0.20781019429026118
c3_tmin,0.20066578468462873,0.20066578468462873
over_acen_kc,0.19975967692580618,0.19975967692580618
c3_rgf,-0.1997003580173957,0.1997003580173957
tree_lr0,0.19848162897708094,0.19848162897708094
c3_ek0,0.19843066007737203,0.19843066007737203
soil_f_co2_lc,-0.1916538759647,0.1916538759647
tree_root_spt_a,0.1798141130154657,0.1798141130154657
tree_ek0,-0.17847166816035925,0.17847166816035925
over_kc0,0.1705583663011915,0.1705583663011915
soil_f_hm_i,-0.16739108693723362,0.16739108693723362
c3_root_spt_b,0.1655810372760643,0.1655810372760643
soil_f_hm_p,0.16527229603026525,0.16527229603026525
tree_f_sz_s,0.1631742674455468,0.1631742674455468
c3_rmr_s,0.1605331709405871,0.1605331709405871
tree_gs_b0,0.15875564449621354,0.15875564449621354
soil_sr_ha,0.15079198527290918,0.15079198527290918
soil_kmsl,-0.14378817259494744,0.14378817259494744
over_acen_vc,0.14365454434175182,0.14365454434175182
soil_kmh,0.14198820914619492,0.14198820914619492
soil_kmsh,0.12969408482928205,0.12969408482928205
tree_km_nstl,0.11901338874427297,0.11901338874427297
tree_gs_b1,-0.11602843046628003,0.11602843046628003
c3_rmc_h,0.11552959827354861,0.11552959827354861
tree_dcd,-0.11449208383969925,0.11449208383969925
tree_lc0,0.11336330738162743,0.11336330738162743
c3_rmc_s,-0.11020796287714799,0.11020796287714799
over_str_et,-0.10284382503845924,0.10284382503845924
c3_rmf0,-0.10209021271603595,0.10209021271603595
tree_tmax,0.09732924601854859,0.09732924601854859
tree_tmin,0.09246103059708036,0.09246103059708036
tree_topt,-0.09196881770799108,0.09196881770799108
c3_ctmp_lfshd,-0.09171713160729555,0.09171713160729555
under_nc_ct,0.08495418216575909,0.08495418216575909
soil_sr_hp,-0.07413640622406928,0.07413640622406928
c3_qtc0,0.06322412098399946,0.06322412098399946
c3_qtf0,0.058731558128226634,0.058731558128226634
over_spect,0.05744120954537429,0.05744120954537429
soil_f_hm_a,-0.05680481996069249,0.05680481996069249
over_ko0,0.04899213507592939,0.04899213507592939
over_ke_d,-0.04852339599948745,0.04852339599948745
under_gss_b1,0.04295982909002491,0.04295982909002491
tree_f_sz_r,0.040183624927410275,0.040183624927410275
tree_rmr_s,0.03705667349006111,0.03705667349006111
c3_ctmp_lfdsp,0.03522253364616028,0.03522253364616028
soil_sr_lf,-0.028179957538924286,0.028179957538924286
over_acen_et,-0.021306299333247986,0.021306299333247986
c3_lr0,0.0211864887268764,0.0211864887268764
c3_gs_b1,-0.0191088333417626,0.0191088333417626
over_photocap_n0,-0.016109247833642336,0.016109247833642336
c3_rgc,-0.015249144467572773,0.015249144467572773
c3_gs_b0,0.015063793100084747,0.015063793100084747
tree_qtc0,-0.006276258494212404,0.006276258494212404
under_gss_b0,0.004407815336499824,0.004407815336499824
tree_gs_b2,-0.004223830003261301,0.004223830003261301
over_gss_b2,0.0006744981010232044,0.0006744981010232044
