name,rho,abs_rho
tree_pmax,0.7997275081627221,0.7997275081627221
c3_topt,-0.6949336604265797,0.6949336604265797
soil_sr_hi,-0.6040869658446871,0.6040869658446871
tree_rmf0,0.5825692619854776,0.5825692619854776
c3_lc0,0.5662307064840612,0.5662307064840612
c3_sla,-0.5618272132679674,0.5618272132679674
under_gss_b2,0.5526765728980818,0.5526765728980818
tree_lue,0.5526130851371204,0.5526130851371204
tree_cmpcd0,-0.5293094363490954,0.5293094363490954
over_acen_ko,-0.5279719660430695,0.5279719660430695
c3_albedo,-0.5180277666477229,0.5180277666477229
tree_rgc,-0.49264405034556935,0.49264405034556935
tree_sla,0.4834299503520546,0.4834299503520546
tree_rgr,-0.4767063634709336,0.4767063634709336
over_scttr,0.4735519528139455,0.4735519528139455
tree_ctmp_lfdsp,0.4695462806478067,0.4695462806478067
over_nc_ct,-0.4695054756785536,0.4695054756785536
c3_f_sz_r,-0.4556515480327941,0.4556515480327941
c3_lf0,0.45431188161219926,0.45431188161219926
over_gss_b1,0.43937537713800495,0.43937537713800495
c3_f_sz_s,-0.4068367810163383,0.4068367810163383
tree_qtr0,-0.40158590350386675,0.40158590350386675
over_hc_et,0.3970487239064418,0.3970487239064418
c4_kmci,0.39359135789449873,0.39359135789449873
c3_gs_b2,-0.38937555215654485,0.38937555215654485
c3_qtr0,-0.3877623375391261,0.3877623375391261
c3_kmci,0.3843115127532384,0.3843115127532384
c3_tmax,0.38428440149023346,0.38428440149023346
c3_root_spt_a,0.38310976938698077,0.38310976938698077
tree_root_spt_b,-0.35110575464212795,0.35110575464212795
c3_cmpcd0,0.3377071545606936,0.3377071545606936
tree_rmc_h,-0.33316923064335807,0.33316923064335807
c3_lue,0.33182543422051813,0.33182543422051813
soil_kml,0.3240875929222894,0.3240875929222894
c3_km_nstl,0.3122846894713082,0.3122846894713082
soil_sr_lc,-0.308945994626431,0.308945994626431
soil_sr_lr,0.305213515101921,0.305213515101921
tree_albedo,0.30071646000372365,0.30071646000372365
tree_rgf,-0.29733707589950836,0.29733707589950836
tree_kmci,0.2916944884655915,0.2916944884655915
c3_rgr,0.289370853315019,0.289370853315019
over_ke_n,-0.2872983385490649,0.2872983385490649
tree_qtf0,0.2737332359122548,0.2737332359122548
over_cv_p,-0.2720536082414264,0.2720536082414264
tree_rmc_s,-0.27200340074334844,0.27200340074334844
over_rfl_d,0.264019326486936,0.264019326486936
soil_f_co2_lr,-0.2560498478953281,0.2560498478953281
tree_rmr_h,0.2546416391493139,0.2546416391493139
c4_cmpcd0,0.2527880974771521,0.2527880974771521
soil_albedo0,-0.2408505783411131,0.2408505783411131
tree_ctmp_lfshd,0.22849261265913892,0.22849261265913892
tree_root_spt_a,0.22840962647969906,0.22840962647969906
over_jvr,0.22789143556582198,0.22789143556582198
over_gss_b0,-0.2260802109209587,0.2260802109209587
tree_lr0,0.2224185984332388,0.2224185984332388
c3_rgf,-0.21564297673869623,0.21564297673869623
over_cv_j,0.20451937522317915,0.20451937522317915
c3_tmin,0.19381881684702712,0.19381881684702712
c3_pmax,0.18712819455187965,0.18712819455187965
soil_f_co2_lf,0.18404962857589824,0.18404962857589824
c3_alloc_abg,0.1819064018976629,0.1819064018976629
over_acen_kc,0.17962215327236364,0.17962215327236364
tree_lf0,-0.17819462349405352,0.17819462349405352
soil_f_co2_lc,-0.17441197740067999,0.17441197740067999
tree_alloc_abg,-0.16435424043444036,0.16435424043444036
tree_ek0,-0.15789219108158167,0.15789219108158167
c3_rmr_h,-0.15448897334121686,0.15448897334121686
tree_f_sz_s,0.15307797706597515,0.15307797706597515
soil_kmsl,-0.15205957806975245,0.15205957806975245
c3_ek0,0.15107775060084477,0.15107775060084477
over_kc0,0.15085184976069885,0.15085184976069885
over_acen_vc,0.14908085870245624,0.14908085870245624
soil_f_hm_p,0.1488344635426167,0.1488344635426167
tree_gs_b0,0.13870874330290975,0.13870874330290975
c3_rmr_s,0.1322581911265802,0.1322581911265802
c3_root_spt_b,0.13154081409992074,0.13154081409992074
tree_tmax,0.13114556227539367,0.13114556227539367
soil_kmh,0.1263048568418784,0.1263048568418784
c3_rmc_h,0.11904571174367024,0.11904571174367024
tree_km_nstl,0.11855719666701854,0.11855719666701854
c3_ctmp_lfshd,-0.11755269960341429,0.11755269960341429
c3_rmf0,-0.11715253746848268,0.11715253746848268
soil_f_hm_i,-0.11673945577298388,0.11673945577298388
tree_dcd,-0.1150407388337431,0.1150407388337431
soil_sr_ha,0.11335379022946643,0.11335379022946643
c3_rmc_s,-0.09966926160141625,0.09966926160141625
c3_qtc0,0.09245045010144747,0.09245045010144747
soil_kmsh,0.090820924753486,0.090820924753486
tree_gs_b1,-0.08753850306507684,0.08753850306507684
under_nc_ct,0.08133802879958747,0.08133802879958747
tree_f_sz_r,0.07724495701934354,0.07724495701934354
c3_ctmp_lfdsp,0.07472563871580402,0.07472563871580402
soil_sr_hp,-0.06919498211674018,0.06919498211674018
over_ko0,0.06840727640653174,0.06840727640653174
c3_qtf0,0.06518801615745748,0.06518801615745748
over_spect,0.06274188684431285,0.06274188684431285
tree_lc0,0.06075061172495412,0.06075061172495412
tree_tmin,0.05625786263116153,0.05625786263116153
tree_topt,-0.05225684288698928,0.05225684288698928
under_gss_b1,0.051374019093352374,0.051374019093352374
over_str_et,-0.04432477754532302,0.04432477754532302
over_ke_d,-0.04415120957301319,0.04415120957301319
tree_gs_b2,-0.04270774049677888,0.04270774049677888
under_gss_b0,-0.04104523692722966,0.04104523692722966
soil_f_hm_a,-0.037659531729430006,0.037659531729430006
