metric,name,mi
mean_NEP,tree_ctmp_lfshd,1.4891888350520928
mean_NEP,tree_sla,1.4641779090031584
mean_NEP,over_ke_d,1.4390411172748758
mean_NEP,tree_root_spt_a,1.4333528611312785
mean_NEP,soil_f_hm_i,1.4093014889203541
mean_NEP,tree_rgf,1.4092043384422868
mean_NEP,c3_f_sz_s,1.4088319295221594
mean_NEP,tree_lc0,1.403710568956282
mean_NEP,c3_qtr0,1.4007809722069822
mean_NEP,under_gss_b2,1.3966841866903923
mean_NEP,over_acen_ko,1.396533293853235
mean_NEP,tree_dcd,1.3906433954279278
mean_NEP,soil_f_hm_p,1.3769729942734803
mean_NEP,c3_f_sz_r,1.3444296022583901
mean_NEP,c3_gs_b0,1.3382727121844906
mean_NEP,c3_pmax,1.3380322581081068
mean_NEP,tree_km_nstl,1.3331729372875616
mean_NEP,tree_rmr_s,1.3260636759382949
mean_NEP,under_gss_b1,1.286156126183847
mean_NEP,over_ko0,1.2712767653547907
mean_NEP,c3_rgf,1.2656846701737485
mean_NEP,c3_lr0,1.2653867033094675
mean_NEP,c3_tmin,1.2555201793141388
mean_NEP,tree_tmin,1.2383289527512877
mean_NEP,tree_kmci,1.2373514184613823
mean_NEP,over_kc0,1.2043291684228843
mean_NEP,tree_rgr,1.203357348582885
mean_NEP,tree_gs_b1,1.1708026637863238
mean_NEP,tree_qtr0,1.147314016617321
mean_NEP,tree_lue,1.1223721137534564
mean_NEP,c3_alloc_abg,1.1208977190474991
mean_NEP,tree_topt,1.094020616459658
mean_NEP,tree_lf0,1.0813736627882706
mean_NEP,tree_qtf0,1.076588521765616
mean_NEP,c3_lue,1.076327948535736
mean_NEP,soil_f_co2_lc,1.0740100180062868
mean_NEP,over_photocap_n0,1.071593962918484
mean_NEP,over_spect,1.0630729596086232
mean_NEP,c4_kmci,1.0545470816518199
mean_NEP,c3_rgr,1.0544794512330715
mean_NEP,soil_f_co2_lr,1.0536760581581772
mean_NEP,tree_f_sz_s,1.0524300933353807
mean_NEP,c3_root_spt_b,1.0521442143715671
mean_NEP,c3_gs_b2,1.0451535459093801
mean_NEP,c3_ctmp_lfdsp,1.0451505196096549
mean_NEP,c3_topt,1.0427794581805514
mean_NEP,tree_qtc0,1.036289740443153
mean_NEP,over_gss_b1,1.0339878841032464
mean_NEP,under_nc_ct,1.0336182961496156
mean_NEP,tree_lr0,1.0299773873539537
mean_NEP,tree_rmf0,1.025387713973111
mean_NEP,over_acen_et,1.02333694987106
