param,S1,S1_conf,ST,ST_conf
tree_alloc_ass,0.020367295266572168,0.03228102140357934,0.15763456840157777,0.05680800000380837
tree_alloc_abg,0.014173611288050851,0.020487578217311262,0.07972400811558168,0.019019314776883966
tree_sla,0.008885411434040973,0.016540168082862402,0.056053843571525645,0.015165079047680963
tree_lue,0.19595114171718744,0.04573011376381803,0.3650155695862662,0.05428078652434707
tree_pmax,0.2768497563040999,0.04942150235407404,0.45095566429031536,0.0670191457920816
tree_topt,0.049301047483304786,0.03490331084635342,0.15768957703934447,0.038399592403181124
tree_tmin,0.040655719628210574,0.026193552469376706,0.08627838234916527,0.024749743083776136
tree_tmax,0.051142055023303726,0.031063391532741978,0.13916685052776195,0.04233043155498028
tree_rmf0,0.008593769229914845,0.021357590153865874,0.10325060534890076,0.03532153720475926
tree_qTf0,0.006593692095023172,0.028151938412994546,0.06847417940226035,0.02800514817028681
tree_qTc0,0.00836615755703271,0.019547140905506695,0.045509609887056705,0.014872540216872013
tree_qTr0,0.011063189721402649,0.015241228683545346,0.04251072987078676,0.012459990239492515
tree_lf0,-0.0010303853037469982,0.02282380554522343,0.08690688280435055,0.03244187889731173
tree_lc0,0.009793687588717868,0.027523947261546954,0.11421624210109038,0.04331248427452918
tree_lr0,0.022628520163980367,0.026048996584200176,0.0669582525167807,0.018372482047246497
c3_alloc_ass,-0.00043239572289492385,0.02031222415906867,0.09360007757351022,0.043971102331033914
c3_alloc_abg,-0.01752827713143727,0.02298650811737663,0.07816905467985556,0.028429839114149976
c3_sla,0.018965597762890345,0.021913285928314614,0.059947195744803464,0.024916492523817158
c3_lue,0.008069252175145371,0.022175834022516563,0.0729065686805031,0.023524406601771613
c3_pmax,-0.0024044293601374546,0.021405901181736117,0.049577297332379026,0.016832392510233645
c3_topt,0.01829009285415155,0.021585763851283815,0.05332784453469045,0.018162392936577617
c3_tmin,-0.004213252617497676,0.02172948808586342,0.06164091876793096,0.027545114428513706
c3_tmax,0.014654960571495835,0.03060030904384552,0.10899006694825343,0.047512289900832214
c3_rmf0,0.005884657898448516,0.023727185931260712,0.070688104034934,0.033926509651254495
c3_qTf0,0.011317656058808977,0.03143809691576603,0.08435916058167953,0.035178156514318465
c3_qTc0,-0.008803599932661879,0.02378008222192481,0.10729667728769948,0.05353792410759526
c3_qTr0,0.01117062859900661,0.02506908736407091,0.06377958486038668,0.02284535054325329
c3_lf0,0.008180255871659348,0.023849856960299107,0.07902606560366156,0.03328264166721807
c3_lc0,0.025127498567474163,0.021731330345683628,0.061844066993982635,0.028013150379959162
c3_lr0,0.006215329255247069,0.018128576303861,0.06051394371453498,0.02094929210210014
soil_sr_lf,0.02202110555046904,0.024913545643866192,0.09093438404940929,0.037714148908237426
soil_sr_lc,0.015151305519086023,0.022296427494580308,0.06603624579446259,0.021450593275249036
soil_sr_lr,0.008309647405710092,0.023369836598213515,0.09333090492908246,0.04218311640802953
soil_f_co2_lf,0.012937858572448805,0.021134738944792526,0.0814982076001603,0.036210351577328284
soil_f_co2_lc,-0.005296077329177906,0.01888175379268166,0.05550271925194492,0.019036658594477427
soil_f_co2_lr,-0.0005990866272045182,0.022836920390832682,0.05825314353329042,0.022137480419355614
