param,S1,S1_conf,ST,ST_conf
tree_alloc_ass,0.008107252977830546,0.035289901414696984,0.15873212478723783,0.030381990934101395
tree_alloc_abg,0.01915863611595949,0.03424310051447916,0.15327283564434271,0.029413437048339642
tree_pmax,0.07205939188107632,0.0516927994300577,0.39703093024525465,0.06560072430906175
tree_lue,0.16772032806601275,0.0484019264158557,0.4354616368283785,0.06578298566353222
tree_topt,0.20084317373954644,0.06181367000246191,0.3897007782682087,0.04998252404437452
tree_tmin,0.03510833375644485,0.03990629041959874,0.14766679957758133,0.02665295901121759
tree_tmax,0.03629206194406176,0.029680546877810462,0.12984785743704044,0.02918533430701669
c3_pmax,0.009578233555029812,0.020866937129201856,0.06470263219541829,0.01912395472785882
c3_lue,0.004386645599061641,0.029246478850968764,0.11561590488212413,0.020062608786342806
c3_topt,0.0024820510119624674,0.026262121462220473,0.07180312371796924,0.015927831530783115
c3_tmin,-0.0004906366410725165,0.024850835480281098,0.08496616758493764,0.022039208179890035
c3_tmax,0.010664853009232634,0.026083384045138214,0.10415705411693571,0.021878576109099865
