param_name,prior,optimized,delta,delta_pct
tree_alloc_ass,0.2623450692891942,0.45711517,0.19477010405064954,74.24195338542692
tree_alloc_abg,0.5000067449518385,0.45711517,-0.04289157161199475,-8.578198603326069
tree_sla,174.9913717668777,270.0,95.0086282331223,54.29332159284523
tree_lue,0.05000691973287948,0.020000001,-0.03000691831726917,-60.00553218945749
tree_pmax,19.0011720912785,8.0,-11.001172091278502,-57.89733411407824
tree_topt,22.500278639056837,9.999999,-12.500279592731154,-55.556110185376525
tree_tmin,7.499126733755644,20.0,12.500873266244355,166.69771974881377
tree_tmax,37.497662029781985,36.41256,-1.0851025205046412,-2.8937871370295403
tree_rmf0,1.0048024949777887,0.049151808,-0.955650686954336,-95.1083115070749
tree_qTf0,2.000021452538422,2.5,0.4999785474615779,24.99865923073007
tree_qTc0,2.0000529980541044,2.5,0.4999470019458956,24.99668770939095
tree_qTr0,2.000050645222689,2.5,0.49994935477731106,24.99683475373424
tree_lf0,0.04999877041430515,0.1,0.05000123107581097,100.00492144403839
tree_lc0,0.04999030601704858,0.0056296648,-0.044360641264416203,-88.73848711645725
tree_lr0,0.049971131572774004,1.827529e-09,-0.04997112974524499,-99.99999634283043
c3_alloc_ass,0.2532757022014059,0.1,-0.15327570071128976,-60.517333237676425
c3_alloc_abg,0.4999509811132826,0.1,-0.3999509796231665,-79.99803875423191
c3_sla,174.98518983917216,270.0,95.01481016082784,54.29877251220825
c3_lue,0.050004088167497074,0.027206814,-0.022797274250933086,-45.59082084362741
c3_pmax,19.00058834723388,18.258333,-0.7422551410571216,-3.906485038739233
c3_topt,22.50064533262673,35.0,12.499354667373272,55.551094124615034
c3_tmin,7.499907418585361,-5.0,-12.499907418585362,-166.6674896227333
c3_tmax,37.49993516079836,25.0,-12.499935160798358,-33.33321806344222
c3_rmf0,1.0049552866735079,2.0,0.9950447133264921,99.01382942321538
c3_qTf0,1.9998817150843309,2.5,0.5001182849156691,25.007393244483968
c3_qTc0,1.9998502373992249,2.5,0.5001497626007751,25.00936086350208
c3_qTr0,1.9999870880665103,1.5706784,-0.4293087347568789,-21.465575318884362
c3_lf0,0.049994631308997166,-1.2927408e-09,-0.04999463260173797,-100.00000258575925
c3_lc0,0.05001684124879427,0.09093164,0.04091479782648497,81.80204268191622
c3_lr0,0.05001714921994729,0.012890101,-0.03712704780949874,-74.22863635477277
soil_sr_lf,1.5046625365896875,3.0,1.4953374634103125,99.38025484435133
soil_sr_lc,1.5046410562836554,0.25259817,-1.2520428898178961,-83.21206473724327
soil_sr_lr,1.5049176165746543,3.0,1.4950823834253457,99.34646036161804
soil_f_co2_lf,0.6000097350521011,0.8770887,0.2770789905147629,46.179082492837075
soil_f_co2_lc,0.5999036796649979,0.90000004,0.30009635609778895,50.02408991146224
soil_f_co2_lr,0.6000378482396479,0.48504218,-0.11499566364835456,-19.164735022252575
