param,S1,S1_conf,ST,ST_conf
tree_alloc_ass,0.1113287012514412,0.07071723267685996,0.3476168820040893,0.08213526558079709
tree_alloc_abg,0.021070538297711515,0.024708599794284993,0.13028224411775974,0.041945684959791577
tree_sla,0.010535781774947395,0.02459172716149102,0.10878279465098427,0.05324931763176475
tree_lue,-0.017968782916890615,0.04033839844380372,0.2914315738910159,0.08696201190825666
tree_pmax,-0.010851229751052472,0.03485489190601684,0.18852411723887558,0.05016733972480136
tree_topt,0.062446512058022645,0.04267487799493892,0.2289347117035712,0.07282364557487199
tree_tmin,-0.0022739653976891956,0.02143378277482366,0.08169585349365188,0.021791194358263013
tree_tmax,-0.03150808985947817,0.03075358348515607,0.22460114176835572,0.0748460627289688
tree_rmf0,0.01574846383172975,0.03920858950952323,0.19574287234140264,0.13075726259968862
tree_qTf0,0.00794643801377769,0.02326639340696878,0.15693137907134988,0.13572784764303164
tree_qTc0,0.007222165284670178,0.022155586853106497,0.05827482338169667,0.0195887073080717
tree_qTr0,-0.01643926840607121,0.017091286773940447,0.05923827987159844,0.015801162274692946
tree_lf0,-0.0037633192427248803,0.02782257950726433,0.17288012137786754,0.09679632265830797
tree_lc0,-0.0008109606097356087,0.0233360965463009,0.08274264489792132,0.02549141049931299
tree_lr0,-0.003998194373832978,0.023876693189418218,0.08184780244358393,0.0312270301423151
c3_alloc_ass,-0.0013671297412217222,0.026722416287247842,0.16665803055562198,0.10811014881533565
c3_alloc_abg,0.010104594178325184,0.02919222192290244,0.1705450382328494,0.12672693276134628
c3_sla,-0.002510748696444704,0.02052450724724554,0.07668917342212164,0.03005440171580282
c3_lue,-0.009741485900835513,0.02455171586369048,0.09759549227531104,0.02920277226133317
c3_pmax,-0.003639973445371531,0.020040835757706023,0.0926382316898082,0.02831605333479014
c3_topt,0.0040444978949036176,0.02289971763995638,0.13521215530293096,0.1271311330292156
c3_tmin,0.02876177315669497,0.03004817726190645,0.09197230327571619,0.03642789855113911
c3_tmax,-0.006468122753509803,0.03210158607029892,0.10769198659536855,0.03991174722982175
c3_rmf0,-0.0035481599649596217,0.02392109180690986,0.07196852971094404,0.03778463906175215
c3_qTf0,-0.008142671514658856,0.019479396841979923,0.07489922964740522,0.024787170473337856
c3_qTc0,0.011475388181250304,0.02506791002399021,0.13737201681377578,0.05878117530887796
c3_qTr0,0.0014309690947249658,0.02837654856409571,0.13868552175666446,0.10253603982394707
c3_lf0,-0.017970382292362395,0.02460844638031472,0.09659039291079985,0.03489858321114875
c3_lc0,-0.0053408416276737695,0.018350982140148374,0.06925439951685028,0.023743993358366123
c3_lr0,-0.014469531198665684,0.021125640606889307,0.06794708686342821,0.027213942521416352
soil_sr_lf,-0.0057067961845574874,0.024753727386837995,0.1151010539927487,0.053691893527191045
soil_sr_lc,0.004643214855781538,0.0254621956406819,0.1508820716308584,0.1235433665663272
soil_sr_lr,-0.0063845142921601355,0.03690713340664493,0.15210853310440625,0.10845450391557503
soil_f_co2_lf,0.005440278600959731,0.024392964342810717,0.1305578616939541,0.10324008652535996
soil_f_co2_lc,-0.002195584437734671,0.025249678663998583,0.17186354873376516,0.1204979983534115
soil_f_co2_lr,0.014811054163486602,0.027082635800204785,0.11172905756899126,0.0463529880541967
