name,line_index,default_value,minimum,maximum,suggested_step,struct_field,unit,notes
over_str_et,151,7.10000000e+02,600.0,800.0,20.0,str_et,scaler,温度シフト
over_kc0,152,4.00000000e+01,25.0,70.0,4.5,kc0,Pa,Rubisco CO2 Km
over_ko0,153,2.48000000e+04,20000.0,35000.0,1500.0,ko0,Pa,Rubisco O2 Km
over_acen_kc,154,5.94000000e+04,50000.0,80000.0,3000.0,acen_kc,J mol-1,kc 活性化エネルギー
over_acen_ko,155,3.60000000e+04,30000.0,40000.0,1000.0,acen_ko,J mol-1,ko 活性化エネルギー
over_acen_vc,156,6.48000000e+04,60000.0,80000.0,2000.0,acen_vc,J mol-1,Vcmax 活性化エネルギー
over_acen_rd,157,6.64000000e+04,66400.0,66400.0,0.0,acen_rd,J mol-1,暗呼吸 活性化エネルギー
over_cv_j,158,7.00000000e-01,0.45,0.9,0.045,cv_j,scaler,電子伝達凸性
over_cv_p,159,8.77000000e-01,0.6,0.9,0.030000000000000006,cv_p,scaler,同化凸性
over_jvr,160,2.10000000e+00,1.3,2.7,0.14,jvr,scaler,Jmax/Vcmax 比
over_gss_b0,161,5.00000000e+00,1.0,10.0,0.9,gss_b0,mmol H2O m-2 s-1,Sun/Shade 最小気孔
over_gss_b1,162,5.00000000e+03,1000.0,10000.0,900.0,gss_b1,mmol H2O m-2 s-1,Sun/Shade 感度
over_gss_b2,163,4.90000000e+00,1.0,8.0,0.7,gss_b2,kPa,Sun/Shade VPD 感度
under_nc_ct,171,8.00000000e+01,30.0,250.0,22.0,nc_ct,mmol N m-2,キャノピー頂部葉N
under_gss_b0,185,5.00000000e+00,1.0,10.0,0.9,gss_b0,mmol H2O m-2 s-1,Sun/Shade 最小気孔
under_gss_b1,186,4.50000000e+03,1000.0,10000.0,900.0,gss_b1,mmol H2O m-2 s-1,Sun/Shade 感度
under_gss_b2,187,6.90000000e+00,1.0,8.0,0.7,gss_b2,kPa,Sun/Shade VPD 感度
