param,S1,S1_conf,ST,ST_conf
tree_alloc_ass,0.11132869873663907,0.07071723229939104,0.34761688152071774,0.08213526684538788
tree_alloc_abg,0.021070539458422282,0.024708600481149815,0.13028224486057088,0.04194568519965937
tree_sla,0.010535781786004944,0.02459172704859834,0.10878279916948996,0.05324932061218323
tree_lue,-0.017968783220823348,0.0403383995914824,0.2914315738337379,0.08696201344304057
tree_pmax,-0.010851229073073048,0.034854891501152854,0.1885241186396537,0.05016734087113446
tree_topt,0.06244651116340838,0.042674878056300006,0.22893471033563245,0.07282364641083536
tree_tmin,-0.0022739654782941844,0.021433782262391076,0.08169585460743373,0.021791194873884766
tree_tmax,-0.031508089427073255,0.03075358335870315,0.2246011428956641,0.07484606589352917
tree_rmf0,0.015748461550724163,0.03920858888732436,0.19574287524731973,0.13075726659375453
tree_qTf0,0.0079464365531768,0.02326639315110306,0.1569313825918971,0.13572785204985835
tree_qTc0,0.0072221636024641595,0.02215558579327145,0.05827482479556001,0.019588707259167233
tree_qTr0,-0.016439269072208544,0.01709128675121498,0.05923827931969813,0.01580116202254006
tree_lf0,-0.003763321578745167,0.027822579598076738,0.17288012324973448,0.09679632723639255
tree_lc0,-0.0008109590897169583,0.023336096534076846,0.08274264554440032,0.02549141042852309
tree_lr0,-0.003998196621691196,0.023876692772153787,0.08184780083909594,0.03122702872766096
c3_alloc_ass,-0.0013671289826602065,0.02672241557615353,0.16665803103994484,0.10811015115794081
c3_alloc_abg,0.010104592851392532,0.02919222244906804,0.17054504078512608,0.12672693541167834
c3_sla,-0.002510749435570835,0.020524508012104717,0.07668917527735578,0.030054402685368176
c3_lue,-0.009741484799024144,0.024551715322597388,0.09759549503015932,0.02920277334096592
c3_pmax,-0.0036399738074308465,0.020040835572800435,0.09263823377808149,0.028316053627854207
c3_topt,0.004044495352155452,0.022899718440448122,0.13521215783308824,0.12713113514660596
c3_tmin,0.028761773370585005,0.030048177214170253,0.09197230334419751,0.03642789818081853
c3_tmax,-0.006468122219706616,0.03210158584662698,0.10769198540351936,0.03991174750516383
c3_rmf0,-0.0035481597227878916,0.023921092280941567,0.07196853052064242,0.03778464073642451
c3_qTf0,-0.00814266876202173,0.019479396632542095,0.07489922958942201,0.02478717092994257
c3_qTc0,0.01147538651189666,0.025067909647971263,0.13737201871109914,0.05878117517494579
c3_qTr0,0.0014309652895321957,0.028376549003817506,0.13868552634514467,0.10253604698795166
c3_lf0,-0.01797038215173561,0.02460844592741615,0.09659039172948332,0.034898581880849114
c3_lc0,-0.0053408447622007825,0.01835098172807507,0.06925440067040865,0.023743995219441448
c3_lr0,-0.014469535688199026,0.02112564115573335,0.06794708829350367,0.027213944097226328
soil_sr_lf,-0.005706799150023741,0.024753727679977897,0.11510105725041028,0.0536918954993693
soil_sr_lc,0.004643215335139691,0.02546219488340136,0.15088207308249138,0.12354336799457441
soil_sr_lr,-0.00638451304645547,0.036907132819765626,0.15210853681388284,0.10845450811007261
soil_f_co2_lf,0.005440274920720752,0.024392964408857864,0.13055786454779333,0.10324008838276248
soil_f_co2_lc,-0.0021955842916329656,0.02524967825603812,0.17186355346505996,0.12049800413842866
soil_f_co2_lr,0.014811053678330367,0.027082635670847954,0.1117290576320136,0.046352986399676686
