param_name,true,prior,estimated,abs_err,rel_err_pct
tree_alloc_ass,0.0865034792983441,0.2623450692891942,0.09634521,0.009841729286918205,11.37726409012383
tree_alloc_abg,0.1930302750947793,0.5000067449518385,0.1,0.09303027360466318,-48.194654211099596
tree_sla,189.46514433853972,174.9913717668777,216.11761,26.652470407554034,14.067215635151825
tree_lue,0.0530667205414982,0.05000691973287948,0.052357536,0.0007091847322197101,-1.3364020331068458
tree_pmax,11.418093829566244,19.0011720912785,24.451006,13.032912106102701,114.14262573631173
tree_topt,22.925072775538208,22.500278639056837,9.999999,12.925073729212524,-56.37964099727524
tree_tmin,10.867197723076218,7.499126733755644,-4.415219,15.282416553184861,-140.62886258831048
tree_tmax,32.04813531838409,37.497662029781985,49.266,17.21786352194794,53.72500880596034
tree_rmf0,0.9928414616474456,1.0048024949777887,2.0,1.0071585383525545,101.442030501159
tree_qTf0,2.4713966964483003,2.000021452538422,2.20578,0.2656166671514253,-10.747633819093025
tree_qTc0,2.456809167199226,2.0000529980541044,1.9510101,0.5057990592051462,-20.587641317773148
tree_qTr0,2.215414936406286,2.000050645222689,2.458549,0.2431340862682747,10.97465229979321
tree_lf0,0.0954867580837286,0.04999877041430515,0.064322285,0.031164472729591178,-32.6374812120695
tree_lc0,0.0125216193887324,0.04999030601704858,0.035340615,0.022818995228138482,182.23677401241085
tree_lr0,0.0663087169357218,0.049971131572774004,1.827529e-09,0.06630871510819278,-99.99999724390834
c3_alloc_ass,0.4794822921266673,0.2532757022014059,0.34087044,0.13861185212041122,-28.908648848244308
c3_alloc_abg,0.8263460555446963,0.4999509811132826,0.59358793,0.2327581205738406,-28.167148498145266
c3_sla,215.7671086956436,174.98518983917216,270.0,54.2328913043564,25.13492053177398
c3_lue,0.0410435245150318,0.050004088167497074,0.06943165,0.028388123143316284,69.16590005061433
c3_pmax,16.065053987677253,19.00058834723388,14.2983265,1.7667274953676824,-10.997333072910031
c3_topt,33.420018892209924,22.50064533262673,32.815174,0.6048447894267213,-1.8098277902760498
c3_tmin,-1.9355519137089403,7.499907418585361,5.289125,7.2246768793766645,-373.26184992540993
c3_tmax,27.79776743308125,37.49993516079836,27.112259,0.6855085219484387,-2.466056037049351
c3_rmf0,0.5651594541544749,1.0049552866735079,0.7116256,0.14646612186481223,25.915893432931703
c3_qTf0,2.224152434650505,1.9998817150843309,1.5130731,0.7110793479119186,-31.970800959227194
c3_qTc0,2.343277196378526,1.9998502373992249,2.4575799,0.11430265477198676,4.877897286272343
c3_qTr0,2.277648231732498,1.9999870880665103,1.636472,0.6411762449618683,-28.150802043481324
c3_lf0,0.0130881337883526,0.049994631308997166,0.05516624,0.04207810699319304,321.4981423145232
c3_lc0,0.0003154043180562,0.05001684124879427,0.078692265,0.07837686053685179,24849.647278096647
c3_lr0,0.0720860862891485,0.05001714921994729,0.04818947,0.023896617607336218,-33.15011098186572
soil_sr_lf,1.0413002023863678,1.5046625365896875,0.8714194,0.16988077260731504,-16.31429363194168
soil_sr_lc,2.413936363838708,1.5046410562836554,0.9957743,1.4181620351300595,-58.748940376989026
soil_sr_lr,1.5562992579876849,1.5049176165746543,1.8209873,0.2646880858004621,17.00753145270449
soil_f_co2_lf,0.8125461315496643,0.6000097350521011,0.9,0.08745384460847783,10.762939015128705
soil_f_co2_lc,0.5630457225544061,0.5999036796649979,0.874795,0.31174929707221133,55.3683803258247
soil_f_co2_lr,0.821402437446471,0.6000378482396479,0.8128719,0.00853056406771735,-1.0385364930540846
