param_name,prior,optimized,delta,delta_pct
tree_alloc_ass,0.2623450692891942,0.76219916,0.49985409414769544,190.5330622382252
tree_alloc_abg,0.5000067449518385,0.8505568,0.35055004587686633,70.10906341086097
tree_sla,174.9913717668777,224.6724,49.68102203195042,28.39055522013687
tree_lue,0.05000691973287948,0.034500845,-0.015506074956249082,-31.007858590525938
tree_pmax,19.0011720912785,11.941658,-7.05951407125897,-37.153045282397464
tree_topt,22.500278639056837,9.999999,-12.500279592731154,-55.556110185376525
tree_tmin,7.499126733755644,3.2240927,-4.275034011816557,-57.00709114000496
tree_tmax,37.497662029781985,25.0,-12.497662029781985,-33.329176682684626
tree_rmf0,1.0048024949777887,1.6527715,0.6479689779531195,64.4871983491087
tree_qTf0,2.000021452538422,1.7128099,-0.287211532227448,-14.360422577613848
tree_qTc0,2.0000529980541044,2.5,0.4999470019458956,24.99668770939095
tree_qTr0,2.000050645222689,2.5,0.49994935477731106,24.99683475373424
tree_lf0,0.04999877041430515,0.054168504,0.004169733317184031,8.339671721189024
tree_lc0,0.04999030601704858,0.0455983,-0.0043920077058150625,-8.785718783792246
tree_lr0,0.049971131572774004,0.1,0.050028869917342116,100.11554340026106
c3_alloc_ass,0.2532757022014059,0.015344182,-0.2379315201720394,-93.94170783221648
c3_alloc_abg,0.4999509811132826,0.773432,0.27348103525939804,54.70156987199325
c3_sla,174.98518983917216,80.00001,-94.98518220977763,-54.28184082154492
c3_lue,0.050004088167497074,0.03992824,-0.010075849328586017,-20.15005112149085
c3_pmax,19.00058834723388,17.91276,-1.0878285663500904,-5.725236221479728
c3_topt,22.50064533262673,10.0,-12.500645332626728,-55.55683025010999
c3_tmin,7.499907418585361,-5.0,-12.499907418585362,-166.6674896227333
c3_tmax,37.49993516079836,47.19244,9.692504872160626,25.846724349254252
c3_rmf0,1.0049552866735079,2.0,0.9950447133264921,99.01382942321538
c3_qTf0,1.9998817150843309,1.9571465,-0.042735189701335274,-2.136885865748976
c3_qTc0,1.9998502373992249,2.5,0.5001497626007751,25.00936086350208
c3_qTr0,1.9999870880665103,1.5,-0.49998708806651027,-24.99951579936815
c3_lf0,0.049994631308997166,0.1,0.050005370181118954,100.02148005063867
c3_lc0,0.05001684124879427,0.038368348,-0.01164849321655817,-23.289142068400757
c3_lr0,0.05001714921994729,9.636454e-10,-0.05001714825630191,-99.99999807337004
soil_sr_lf,1.5046625365896875,3.0,1.4953374634103125,99.38025484435133
soil_sr_lc,1.5046410562836554,0.00999999,-1.4946410658203986,-99.33539029647667
soil_sr_lr,1.5049176165746543,1.4386611,-0.06625651809442967,-4.402667452670017
soil_f_co2_lf,0.6000097350521011,0.9,0.299990241106041,49.997562302883594
soil_f_co2_lc,0.5999036796649979,0.5285561,-0.07134757119026647,-11.893171122088939
soil_f_co2_lr,0.6000378482396479,0.37213787,-0.227899973874795,-37.98093312670078
